Measurements,
1,ScreenPrinter/PositionX
2,ScreenPrinter/PositionY
3,PasteInspection/PosX1
4,PasteInspection/PosY1
5,PasteInspection/PosX2
6,PasteInspection/PosY2
7,PasteInspection/PosX3
8,PasteInspection/PosY3
9,PasteInspection/PosX4
10,PasteInspection/PosY4
11,PasteInspection/PosX5
12,PasteInspection/PosY5
13,PasteInspection/PosX6
14,PasteInspection/PosY6
15,PickAndPlace/MarkerX1
16,PickAndPlace/MarkerY1
17,PickAndPlace/MarkerX2
18,PickAndPlace/MarkerY2
19,AOI1/PosX1
20,AOI1/PosY1
21,AOI1/PosX2
22,AOI1/PosY2
23,AOI1/PosX3
24,AOI1/PosY3
25,AOI1/PosX4
26,AOI1/PosY4
27,AOI1/PosX5
28,AOI1/PosY5
29,AOI1/PosX6
30,AOI1/PosY6
31,Owen1/Temp1
32,Owen2/Temp2
33,Owen3/Temp3
34,AOI2/PosX1
35,AOI2/PosY1
36,AOI2/PosX2
37,AOI2/PosY2
38,AOI2/PosX3
39,AOI2/PosY3
40,AOI2/PosX4
41,AOI2/PosY4
42,AOI2/PosX5
43,AOI2/PosY5
44,AOI2/PosX6
45,AOI2/PosY6
46,Housing/HScrew
47,ConAssembly1/Con1Screw
48,ConAssembly2/Con2Screw
49,PtAssembly1/Pt1Screw1
50,PtAssembly1/Pt1Screw2
51,PtAssembly2/Pt2
52,PtAssembly3/Pt2
53,Welding/WeldFrequency
54,FunctionTest